ID,FIELD_INFO_ID,PARENT_ID,FIELD_NAME_EN,FIELD_NAME_CN,TABLE_NAME,FIELD_TYPE,FIELD_LENGHT,IS_NOT_NULL,REMARK,PURPOSE,DATA_SRC,IS_MULTIPLE,ORDER_FIELD_NAME_EN
10539,1012,1000,IS_MATCH_RELATED_RULES,是否符合关联规则,mw_em_master,1,1,1,int,",DISPATCH,DISPATCH-TIME,ABNORMAL,",system,0,
10542,7007,7000,DISPATCH_TYPE,派单方式,mw_em_master,1,4,1,int,",WARNING,",system,0,
10547,8000,0,BUSINESS_TAG,业务标签,mw_em_master,0,5000,1,JSON,",DISPATCH,DISPATCH-TIME,ABNORMAL,WARNING,",system,0,
10548,8001,8000,CIRCUIT_NO,电路代号,mw_em_master,0,500,1,keyword,",DISPATCH,DISPATCH-TIME,ABNORMAL,,EVENT-LIST,WARNING,",pubevent_1409,0,
10549,8002,8000,PRODUCT_TYPE,产品类型,mw_em_master,0,100,1,keyword,",DISPATCH,DISPATCH-TIME,ABNORMAL,,EVENT-LIST,WARNING,",pubevent_1409,0,
10550,8003,8000,CIRCUIT_LEVEL,电路级别,mw_em_master,5,100,1,keyword,",DISPATCH,DISPATCH-TIME,ABNORMAL,,EVENT-LIST,WARNING,",pubevent_1409,0,
10551,8004,8000,GCSS_CLIENT_LEVEL,集客客户级别,mw_em_master,5,100,1,keyword,",DISPATCH,DISPATCH-TIME,ABNORMAL,,EVENT-LIST,WARNING,",pubevent_1409,0,
10552,8005,8000,GCSS_SERVICE_LEVEL,集客业务级别,mw_em_master,5,100,1,keyword,",DISPATCH,DISPATCH-TIME,ABNORMAL,,EVENT-LIST,WARNING,",pubevent_1409,0,
10553,8006,8000,GCSS_CLIENT_GRADE,集客客户属性,mw_em_master,5,100,1,keyword,",DISPATCH,DISPATCH-TIME,ABNORMAL,,EVENT-LIST,WARNING,",pubevent_1409,0,
10554,8007,8000,GCSS_CLIENT_NAME,集客客户名称,mw_em_master,0,500,1,keyword,",DISPATCH,DISPATCH-TIME,ABNORMAL,,EVENT-LIST,WARNING,",pubevent_1409,0,
10555,8008,8000,GCSS_SERVICE_TYPE,集客产品,mw_em_master,0,500,1,keyword,",DISPATCH,DISPATCH-TIME,ABNORMAL,,EVENT-LIST,WARNING,",pubevent_1409,0,
10556,8009,8000,GCSS_CLIENT,集客客户,mw_em_master,0,500,1,keyword,",DISPATCH,DISPATCH-TIME,ABNORMAL,,EVENT-LIST,WARNING,",pubevent_1409,0,
10557,8010,8000,GCSS_CLIENT_NUM,集客客户数量,mw_em_master,0,100,1,keyword,",DISPATCH,DISPATCH-TIME,ABNORMAL,,EVENT-LIST,WARNING,",pubevent_1409,0,
